150 processes, 150 candidates.
Dispatched work, waiting for setup (PRESS ANYKEY+ENTER TO ABORT) ...
Workload accepted: starting algorithm (est. time = 90.15952941144383 seconds)
Waiting for processes to finish (PRESS ANYKEY+ENTER TO ABORT) ...
DONE, time taken = 92.394 seconds
1: elected = false, level = 2
2: elected = false, level = 0
3: elected = false, level = 0
4: elected = false, level = 0
5: elected = false, level = 0
6: elected = false, level = 1
7: elected = false, level = 0
8: elected = false, level = 0
9: elected = false, level = 0
10: elected = false, level = 6
11: elected = false, level = 0
12: elected = false, level = 0
13: elected = false, level = 0
14: elected = false, level = 0
15: elected = false, level = 0
16: elected = false, level = 1
17: elected = false, level = 10
18: elected = false, level = 1
19: elected = false, level = 0
20: elected = false, level = 0
21: elected = false, level = 0
22: elected = false, level = 0
23: elected = false, level = 0
24: elected = false, level = 0
25: elected = false, level = 10
26: elected = false, level = 0
27: elected = false, level = 0
28: elected = false, level = 0
29: elected = false, level = 0
30: elected = false, level = 0
31: elected = false, level = 1
32: elected = false, level = 20
33: elected = false, level = 0
34: elected = false, level = 0
35: elected = false, level = 0
36: elected = false, level = 0
37: elected = false, level = 1
38: elected = false, level = 0
39: elected = false, level = 0
40: elected = false, level = 0
41: elected = false, level = 0
42: elected = false, level = 0
43: elected = false, level = 0
44: elected = false, level = 7
45: elected = false, level = 11
46: elected = false, level = 0
47: elected = false, level = 0
48: elected = false, level = 0
49: elected = false, level = 0
50: elected = false, level = 0
51: elected = false, level = 0
52: elected = false, level = 0
53: elected = false, level = 2
54: elected = false, level = 5
55: elected = false, level = 6
56: elected = false, level = 0
57: elected = false, level = 0
58: elected = false, level = 6
59: elected = true, level = 654
60: elected = false, level = 0
61: elected = false, level = 0
62: elected = false, level = 0
63: elected = false, level = 7
64: elected = false, level = 0
65: elected = false, level = 0
66: elected = false, level = 4
67: elected = false, level = 0
68: elected = false, level = 1
69: elected = false, level = 0
70: elected = false, level = 0
71: elected = false, level = 103
72: elected = false, level = 0
73: elected = false, level = 0
74: elected = false, level = 0
75: elected = false, level = 11
76: elected = false, level = 0
77: elected = false, level = 14
78: elected = false, level = 0
79: elected = false, level = 0
80: elected = false, level = 18
81: elected = false, level = 0
82: elected = false, level = 0
83: elected = false, level = 0
84: elected = false, level = 0
85: elected = false, level = 0
86: elected = false, level = 0
87: elected = false, level = 2
88: elected = false, level = 12
89: elected = false, level = 1
90: elected = false, level = 3
91: elected = false, level = 3
92: elected = false, level = 0
93: elected = false, level = 0
94: elected = false, level = 12
95: elected = false, level = 0
96: elected = false, level = 115
97: elected = false, level = 1
98: elected = false, level = 1
99: elected = false, level = 1
100: elected = false, level = 0
101: elected = false, level = 0
102: elected = false, level = 0
103: elected = false, level = 0
104: elected = false, level = 0
105: elected = false, level = 0
106: elected = false, level = 0
107: elected = false, level = 2
108: elected = false, level = 2
109: elected = false, level = 0
110: elected = false, level = 0
111: elected = false, level = 0
112: elected = false, level = 1
113: elected = false, level = 0
114: elected = false, level = 4
115: elected = false, level = 30
116: elected = false, level = 0
117: elected = false, level = 3
118: elected = false, level = 0
119: elected = false, level = 14
120: elected = false, level = 15
121: elected = false, level = 0
122: elected = false, level = 0
123: elected = false, level = 4
124: elected = false, level = 3
125: elected = false, level = 3
126: elected = false, level = 0
127: elected = false, level = 9
128: elected = false, level = 0
129: elected = false, level = 1
130: elected = false, level = 3
131: elected = false, level = 0
132: elected = false, level = 0
133: elected = false, level = 2
134: elected = false, level = 1
135: elected = false, level = 5
136: elected = false, level = 1
137: elected = false, level = 5
138: elected = false, level = 8
139: elected = false, level = 31
140: elected = false, level = 0
141: elected = false, level = 48
142: elected = false, level = 0
143: elected = false, level = 49
144: elected = false, level = 0
145: elected = false, level = 2
146: elected = false, level = 0
147: elected = false, level = 50
148: elected = false, level = 1
149: elected = false, level = 4
150: elected = false, level = 3
